"homeTeamName","awayTeamName","league_name","goalsHomeTeam","goalsAwayTeam","home_prob","draw_prob","away_prob"
"AC Milan","Genoa CFC","Italy – Serie A",0,0,0.63480701460992,0.220678114166198,0.144514871223882
"SPAL Ferrara","US Sassuolo Calcio","Italy – Serie A",0,1,0.366065851020066,0.299102585589566,0.334831563390368
"Torino FC","AS Roma","Italy – Serie A",0,1,0.279519369094315,0.255498173312772,0.464982457592913
"Atalanta BC","Bologna FC","Italy – Serie A",1,0,0.592614151178302,0.239010649207892,0.168375199613807
"Udinese Calcio","Juventus Turin","Italy – Serie A",2,6,0.104372785678415,0.210765689789315,0.68486152453227
"SS Lazio","Cagliari Calcio","Italy – Serie A",3,0,0.77628695697079,0.146136065317272,0.0775769777119378
"Ponte Preta","Avaí SC","Campeonato Brasileiro da Série A",1,2,0.564229664330597,0.278084368844701,0.157685966824701
"Chapecoense","Fluminense FC","Campeonato Brasileiro da Série A",2,0,0.476121913522329,0.280474115724361,0.24340397075331
"SV Sandhausen","FC St. Pauli","Germany – 2. Bundesliga",1,1,0.411524201046229,0.310609030725975,0.277866768227796
"Ajaccio AC","Gazélec Ajaccio","France – Ligue 2",2,0,0.433216264959075,0.298998955876662,0.267784779164263
"Moreirense FC","Sporting Braga","Portugal – Primeira Liga",0,1,0.217197460706158,0.304755187053328,0.478047352240514
"Vitoria Guimaraes","Portimonense S.C.","Portugal – Primeira Liga",3,3,0.506503545948969,0.268729562180863,0.224766891870169
"Brescia Calcio","AS Bari","Italy – Serie B",2,1,0.375369973169738,0.313814125479524,0.310815901350738
"Botafogo","Corinthians","Campeonato Brasileiro da Série A",2,1,0.35716363890279,0.314534430388586,0.328301930708625
"Oldham Athletic AFC","Bury FC","England – League One",2,1,0.445074016803815,0.270753360222321,0.284172622973864
"FC Internazionale Milano","UC Sampdoria","Italy – Serie A",3,2,0.659750174978168,0.202387531675475,0.137862293346356
"Ascoli","Spezia Calcio","Italy – Serie B",3,1,0.34426051980198,0.338304455445545,0.317435024752475
"AS Avellino 1912","Pro Vercelli","Italy – Serie B",1,0,0.488035541768808,0.293114439500785,0.218850018730407
"Carpi FC","US Cittá di Palermo","Italy – Serie B",1,3,0.339819013330739,0.32618079205994,0.334000194609322
"AS Cittadella","Venezia","Italy – Serie B",2,1,0.475640050017265,0.303757664341244,0.220602285641492
"Empoli FC","Pescara Calcio","Italy – Serie B",3,1,0.552198847532588,0.250136934996018,0.197664217471395
"Frosinone Calcio","Ternana Calcio","Italy – Serie B",4,2,0.646376366415105,0.227014006239762,0.126609627345133
"Novara Calcio","Salernitana Calcio","Italy – Serie B",2,3,0.449673128944996,0.308794522091975,0.24153234896303
"Perugia","AC Cesena","Italy – Serie B",0,3,0.549198066677699,0.278552286310505,0.172249647011796
"Virtus Entella","Cremonese","Italy – Serie B",1,1,0.367844977904248,0.310442417658044,0.321712604437708
"Foggia","Parma FC","Italy – Serie B",0,3,0.40630741889816,0.297298111388897,0.296394469712943
"Atalanta BC","Hellas Verona FC","Italy – Serie A",3,0,0.72704254038875,0.183589413362073,0.0893680462491769
"US Sassuolo Calcio","Udinese Calcio","Italy – Serie A",0,1,0.504405855998145,0.273815764561025,0.22177837944083
"Bologna FC","SS Lazio","Italy – Serie A",1,2,0.180323462210474,0.250884816988486,0.568791720801039
"Cagliari Calcio","Benevento Calcio","Italy – Serie A",2,1,0.634514723391046,0.216133057364611,0.149352219244343
"AC Chievo Verona","AC Milan","Italy – Serie A",1,4,0.2712995737401,0.285536869155032,0.443163557104868
"ACF Fiorentina","Torino FC","Italy – Serie A",3,0,0.513340860650046,0.249367524257483,0.237291615092471
"Genoa CFC","SSC Napoli","Italy – Serie A",2,3,0.100167408323269,0.187861863502835,0.711970728173896
"Juventus Turin","SPAL Ferrara","Italy – Serie A",4,1,0.864694871287747,0.0963455262489571,0.038959602463296
"AS Roma","FC Crotone","Italy – Serie A",1,0,0.830381058573566,0.11608177367628,0.0535371677501533
"FC St. Pauli","Erzgebirge Aue","Germany – 2. Bundesliga",1,1,0.489811987781069,0.303668022405215,0.206519989813716
"Arminia Bielefeld","FC Ingolstadt 04","Germany – 2. Bundesliga",1,3,0.248970463904874,0.272615703493605,0.478413832601522
"FC Twente Enschede","Excelsior","Netherlands – Eredivisie",1,3,0.5089375181783,0.258162082664106,0.232900399157594
"Leeds United","Sheffield United FC","England – Championship",1,2,0.422095466826779,0.285099569698789,0.292804963474432
"Paris Saint-Germain","OGC Nice","France – Ligue 1",3,0,0.833546751052902,0.115148335607144,0.0513049133399533
"FC Bourg-en-Bresse Péronnas","AJ Auxerre","France – Ligue 2",1,1,0.2995352098341,0.298619200018094,0.401845590147806
"Stade Brestois","US Orleans","France – Ligue 2",0,1,0.524253873073592,0.268924756777562,0.206821370148845
"Gazélec Ajaccio","Paris FC","France – Ligue 2",0,0,0.427882421951378,0.321970931369354,0.250146646679267
"Sochaux FC","Chamois Niortais FC","France – Ligue 2",2,1,0.46693135040903,0.27489761193095,0.258171037660019
"Quevilly Rouen","Le Havre AC","France – Ligue 2",0,2,0.25440743609605,0.273648334624322,0.471944229279628
"SL Benfica","Feirense","Portugal – Primeira Liga",1,0,0.845847112305531,0.105403683893654,0.048749203800815
"FC Rio Ave","Sporting CP","Portugal – Primeira Liga",0,1,0.133611417488157,0.227357423697796,0.639031158814047
"Sao Paulo","Santos FC","Campeonato Brasileiro da Série A",2,1,0.468795697583356,0.281819378894041,0.249384923522604
"SV Darmstadt 98","Holstein Kiel","Germany – 2. Bundesliga",1,1,0.279377876124904,0.260702884405325,0.459919239469771
"SpVgg Greuther Fürth","SV Sandhausen","Germany – 2. Bundesliga",2,1,0.365315264823998,0.310634317541425,0.324050417634577
"Jahn Regensburg","1. FC Kaiserslautern","Germany – 2. Bundesliga",3,1,0.458085931856383,0.28446735710032,0.257446711043297
"Heracles Almelo","VVV Venlo","Netherlands – Eredivisie",3,0,0.40490297129552,0.260913411984547,0.334183616719933
"Roda JC Kerkrade","Feyenoord Rotterdam","Netherlands – Eredivisie",1,1,0.106767813585399,0.171504009871801,0.7217281765428
"Willem II Tilburg","Ajax Amsterdam","Netherlands – Eredivisie",1,3,0.0738026542712951,0.149642805132902,0.776554540595803
"PEC Zwolle","ADO Den Haag","Netherlands – Eredivisie",2,0,0.547332470322527,0.240724929077037,0.211942600600435
"Northampton Town","Blackpool FC","England – League One",1,0,0.333844518675979,0.27931976920741,0.386835712116611
"Bury FC","Doncaster Rovers FC","England – League One",0,1,0.329781715605536,0.281312356827777,0.388905927566688
"Bristol Rovers","Milton Keynes Dons","England – League One",2,0,0.49252854812398,0.263621533442088,0.243849918433932
"Charlton Athletic","AFC Wimbledon","England – League One",1,0,0.492163502325717,0.267768335137349,0.240068162536934
"Fleetwood Town FC","Oxford United","England – League One",2,0,0.36008828865614,0.297511970200653,0.342399741143207
"Peterborough United FC","Shrewsbury Town FC","England – League One",1,0,0.415001523336776,0.272417201073024,0.3125812755902
"Plymouth Argyle","Rochdale AFC","England – League One",1,1,0.276372794888398,0.274043810661811,0.449583394449791
"Portsmouth","Bradford City AFC","England – League One",0,1,0.441790312337625,0.285484383118758,0.272725304543618
"Rotherham United","Gillingham FC","England – League One",1,3,0.633465331027833,0.204158791522032,0.162375877450135
"Walsall FC","Southend United FC","England – League One",0,1,0.399663946231397,0.270883341334614,0.329452712433989
"Wigan Athletic FC","Blackburn Rovers FC","England – League One",0,0,0.508530702644121,0.269357080573322,0.222112216782557
"Oldham Athletic AFC","Scunthorpe United FC","England – League One",2,3,0.339901647500048,0.287763341688831,0.372335010811121
"Grimsby Town","Cambridge United","League Two",0,0,0.347169435800867,0.286083904574908,0.366746659624224
"Forest Green Rovers","Morecambe FC","League Two",2,0,0.443017888055395,0.263416041546451,0.293566070398153
"Colchester United FC","Crewe Alexandra FC","League Two",3,1,0.487497221979028,0.257935038084142,0.25456773993683
"Chesterfield FC","Carlisle United","League Two",2,2,0.324963937973314,0.273846015146051,0.401190046880635
"Accrington Stanley","Barnet FC","League Two",4,1,0.492704123806025,0.260895022042616,0.246400854151359
"Lincoln City","Crawley Town","League Two",0,0,0.556834321110259,0.25337837480459,0.18978730408515
"Luton Town","Coventry City FC","League Two",0,3,0.464524905818334,0.25272080368355,0.282754290498116
"Yeovil Town","Stevenage FC","League Two",3,0,0.341059147180193,0.285213204951857,0.373727647867951
"Wycombe Wanderers","Cheltenham Town","League Two",3,3,0.458396491511892,0.256943296557982,0.284660211930126
"Port Vale FC","Swindon Town FC","League Two",0,3,0.369522442649135,0.311673881339846,0.318803676011019
"Notts County","Newport County","League Two",3,0,0.420635155533193,0.277236807055968,0.302128037410839
"Mansfield Town","Exeter City","League Two",1,1,0.437561465965546,0.270294201967637,0.292144332066817
"Sheffield Wednesday","Barnsley FC","England – Championship",1,1,0.561024450016652,0.237615113551254,0.201360436432094
"Fulham FC","Bolton Wanderers FC","England – Championship",1,1,0.664675190637799,0.192741318994744,0.142583490367457
"Cardiff City FC","Millwall FC","England – Championship",0,0,0.541622016274332,0.258599371165464,0.199778612560204
"Burton Albion FC","Ipswich Town","England – Championship",1,2,0.334974462798509,0.290111811530852,0.374913725670639
"Norwich City FC","Derby County","England – Championship",1,2,0.439633505957339,0.28621301560859,0.274153478434071
"Preston North End","Brentford FC","England – Championship",2,3,0.417398945518453,0.257029876977153,0.325571177504394
"Queens Park Rangers","Wolverhampton Wanderers FC","England – Championship",2,1,0.284268283516649,0.266404429634455,0.449327286848896
"Reading","Middlesbrough FC","England – Championship",0,2,0.293995890493745,0.305976914244274,0.400027195261981
"Sunderland AFC","Bristol City","England – Championship",1,2,0.379932292003085,0.28220404348206,0.337863664514854
"Hull City FC","Nottingham Forest","England – Championship",2,3,0.471400483080102,0.25678921051995,0.271810306399947
"Manchester United FC","Tottenham Hotspur FC","England – Premiere League",1,0,0.467107290846204,0.287661381459539,0.245231327694257
"Crystal Palace FC","West Ham United FC","England – Premiere League",2,2,0.417221544618083,0.29355408079416,0.289224374587757
"Arsenal FC","Swansea City FC","England – Premiere League",2,1,0.793601588769696,0.133802424938647,0.0725959862916569
"Liverpool FC","Huddersfield Town","England – Premiere League",3,0,0.778154574132492,0.150811176205498,0.0710342496620099
"Watford FC","Stoke City FC","England – Premiere League",0,1,0.473562935881287,0.267104980183723,0.25933208393499
"West Bromwich Albion FC","Manchester City FC","England – Premiere League",2,3,0.0789706379021145,0.143488377213066,0.777540984884819
"AFC Bournemouth","Chelsea FC","England – Premiere League",0,1,0.167682926829268,0.228658536585366,0.603658536585366
"FC Girondins de Bordeaux","AS Monaco FC","France – Ligue 1",0,2,0.381014461995573,0.275535882121093,0.343449655883334
"RC Strasbourg Alsace","Angers SCO","France – Ligue 1",2,2,0.35391165513571,0.30335284725918,0.342735497605109
"SM Caen","ES Troyes AC","France – Ligue 1",1,0,0.562482075024832,0.276375436343181,0.161142488631987
"Dijon FCO","FC Nantes","France – Ligue 1",1,0,0.361403644374022,0.30782013874128,0.330776216884698
"EA Guingamp","Amiens SC","France – Ligue 1",1,1,0.562083000453436,0.266497083146518,0.171419916400045
"FC Valenciennes","Nîmes Olympique","France – Ligue 2",1,2,0.270444710139561,0.271195945445504,0.458359344414936
"Clermont Foot Auvergne","Ajaccio AC","France – Ligue 2",1,1,0.459856477153721,0.287579861818846,0.252563661027432
"FC Lorient","RC Tours","France – Ligue 2",2,0,0.678090556820409,0.198272092637547,0.123637350542044
"Stade de Reims","AS Nancy","France – Ligue 2",3,0,0.508885457390604,0.287832698965214,0.203281843644182
"Maritimo Funchal","CD Tondela","Portugal – Primeira Liga",2,0,0.462241675439083,0.301027757770514,0.236730566790404
"C.F. Os Belenenses","Moreirense FC","Portugal – Primeira Liga",3,0,0.439562325681184,0.312765500965458,0.247672173353358
"Boavista Porto FC","FC Porto","Portugal – Primeira Liga",0,3,0.081572672086619,0.203676233435483,0.714751094477898
"AC Milan","Juventus Turin","Italy – Serie A",0,2,0.249193384897142,0.282227666468521,0.468578948634338
"AS Roma","Bologna FC","Italy – Serie A",1,0,0.767110600858278,0.15558680617055,0.0773025929711724
"AS Bari","Ascoli","Italy – Serie B",3,0,0.597191626808111,0.245015329362783,0.157793043829106
"AC Cesena","Novara Calcio","Italy – Serie B",2,2,0.435852334261272,0.291435590670223,0.272712075068505
"Cremonese","Perugia","Italy – Serie B",3,3,0.457969610496278,0.29381785251719,0.248212536986532
"Pescara Calcio","Brescia Calcio","Italy – Serie B",0,3,0.571902103907256,0.242450264777444,0.1856476313153
"US Cittá di Palermo","Virtus Entella","Italy – Serie B",2,0,0.616623425436284,0.237835467553416,0.1455411070103
"Salernitana Calcio","Empoli FC","Italy – Serie B",2,1,0.303687635574837,0.309472161966739,0.386840202458424
"Venezia","Frosinone Calcio","Italy – Serie B",1,1,0.299129419258945,0.302845312665888,0.398025268075167
"Spezia Calcio","AS Cittadella","Italy – Serie B",0,0,0.406526416447526,0.320941907721731,0.272531675830743
"EC Flamengo","Vasco da Gama","Campeonato Brasileiro da Série A",0,0,0.533789022356219,0.28015430307952,0.186056674564261
"Atlético PR","Chapecoense","Campeonato Brasileiro da Série A",0,0,0.536145402397346,0.274047428928465,0.18980716867419
"Hellas Verona FC","FC Internazionale Milano","Italy – Serie A",1,2,0.107713484028037,0.192951319814003,0.699335196157961
"Club Atlético de Madrid","Qarabag Agdam FK","Europe – Champions-League",1,1,0.873911436621277,0.0989128856257187,0.0271756777530045
"FC Basel","CSKA Moscow","Europe – Champions-League",1,2,0.534819219958524,0.267896694879042,0.197284085162434
"Doncaster Rovers FC","Rotherham United","England – League One",1,1,0.418728948439871,0.272524706666173,0.308746344893956
"Bradford City AFC","Plymouth Argyle","England – League One",0,1,0.615350246649789,0.219640583797077,0.165009169553134
"Cambridge United","Accrington Stanley","League Two",0,0,0.377726202259463,0.272978599952217,0.34929519778832
"Carlisle United","Yeovil Town","League Two",4,0,0.531192212217483,0.242855957372914,0.225951830409602
